__IATA__	__ICAO__	__airport name__	__place name__
GMV		Monument Valley Airport (FAA: UT25)	Monument Valley, Utah, United States
GNG	KGNG	Gooding Municipal Airport	Gooding, Idaho, United States
GNT	KGNT	Grants-Milan Municipal Airport	Grants, New Mexico, United States
GNU		Goodnews Airport	Goodnews, Alaska, United States
GNV	KGNV	Gainesville Regional Airport	Gainesville, Florida, United States
GOF		Goodfellow Air Force Base	San Angelo, Texas, United States
GOK	KGOK	Guthrie-Edmond Regional Airport (was Guthrie Municipal)	Guthrie, Oklahoma, United States
GOL		Gold Beach Municipal Airport (FAA: 4S1)	Gold Beach, Oregon, United States
GON	KGON	Groton-New London Airport	Groton, Connecticut, United States
GPT	KGPT	Gulfport-Biloxi International Airport	Gulfport, Mississippi, United States
GPZ	KGPZ	Grand Rapids/Itasca County Airport (Gordon Newstrom Field)	Grand Rapids, Minnesota, United States
GQQ	KGQQ	Galion Municipal Airport	Galion, Ohio, United States
GRB	KGRB	Austin Straubel International Airport	Green Bay, Wisconsin, United States
GRD	KGRD	Greenwood County Airport	Greenwood, South Carolina, United States
GRE	KGRE	Greenville Airport	Greenville, Illinois, United States
GRF	KGRF	Gray Army Airfield (Fort Lewis)	Tacoma, Washington, United States
GRI	KGRI	Central Nebraska Regional Airport	Grand Island, Nebraska, United States
GRK	KGRK	Killeen-Fort Hood Regional Airport (Robert Gray Army Airfield)	Fort Hood / Killeen, Texas, United States
GRM	KCKC	Grand Marais/Cook County Airport (FAA: CKC)	Grand Marais, Minnesota|Grand Marais, Minnesota, United States
GRN	KGRN	Gordon Municipal Airport	Gordon, Nebraska, United States
GRR	KGRR	Gerald R. Ford International Airport	Grand Rapids, Michigan, United States
GSB	KGSB	Seymour Johnson Air Force Base	Goldsboro, North Carolina, United States
GSH	KGSH	Goshen Municipal Airport	Goshen, Indiana, United States
GSO	KGSO	Piedmont Triad International Airport	Greensboro, North Carolina, United States
GSP	KGSP	Greenville-Spartanburg International Airport	Greenville, South Carolina|Greenville / Spartanburg, South Carolina, United States
GST	PAGS	Gustavus Airport	Gustavus, Alaska, United States
GTF	KGTF	Great Falls International Airport	Great Falls, Montana, United States
GTG	KGTG	Grantsburg Municipal Airport	Grantsburg, Wisconsin, United States
GTR	KGTR	Golden Triangle Regional Airport	Columbus, Mississippi|Columbus/West Point, Mississippi|West Point/Starkville, Mississippi, United States
GTY		Gettysburg Regional Airport (FAA: W05)	Gettysburg, Pennsylvania, United States
GUC	KGUC	Gunnison-Crested Butte Regional Airport	Gunnison, Colorado, United States
GUF	KJKA	Jack Edwards Airport (FAA: JKA)	Gulf Shores, Alabama, United States
GUP	KGUP	Gallup Municipal Airport	Gallup, New Mexico, United States
GUS	KGUS	Grissom Air Reserve Base	Peru, Indiana, United States
GUY	KGUY	Guymon Municipal Airport	Guymon, Oklahoma, United States
GVE	KGVE	Gordonsville Municipal Airport	Gordonsville, Virginia, United States
GVL	KGVL	Lee Gilmer Memorial Airport	Gainesville, Georgia, United States
GVT	KGVT	Majors Airport (Texas)|Majors Airport	Greenville, Texas, United States
GWO	KGWO	Greenwood-Leflore Airport	Greenwood, Mississippi, United States
GWR	KGWR	Gwinner-Roger Melroe Field	Gwinner, North Dakota, United States
GWS	KGWS	Glenwood Springs Municipal Airport	Glenwood Springs, Colorado, United States
GWV		Glendale Fokker Field (FAA: WV66)	Glendale, West Virginia|Glendale, West Virginia, United States
GXY	KGXY	Greeley-Weld County Airport	Greeley, Colorado, United States
GYR	KGYR	Phoenix Goodyear Airport	Goodyear, Arizona, United States
GYY	KGYY	Gary/Chicago International Airport	Gary, Indiana (near Chicago), United States
HAB	KHAB	Marion County - Rankin Fite Airport	Hamilton, Alabama, United States
HAE		Lava Falls Heliport (FAA: AZ15) (Havasupai Airport)	Supai Village, Arizona, United States
HAF	KHAF	Half Moon Bay Airport	Half Moon Bay, California, United States
HAI	KHAI	Three Rivers Municipal Airport (Dr. Haines Flying Field)	Three Rivers, Michigan, United States
HAO	KHAO	Butler County Regional Airport	Hamilton, Ohio, United States
HAR	KCXY	Capital City Airport (Pennsylvania)|Capital City Airport (FAA: CXY)	Harrisburg, Pennsylvania, United States
HAX	KHAX	Hatbox Field	Muskogee, Oklahoma, United States
HAY		Haycock Airport	Haycock, Alaska, United States
HBB		Industrial Airpark (FAA: NM83)	Hobbs, New Mexico, United States
HBG	KHBG	Bobby L. Chain Municipal Airport	Hattiesburg, Mississippi, United States
HBH		Entrance Island Seaplane Base (Hobart Bay) (FAA: 2Z1)	Entrance Island, Alaska, United States
HBR	KHBR	Hobart Municipal Airport	Hobart, Oklahoma, United States
HCC		Columbia County Airport (FAA: 1B1)	Hudson, New York, United States
HCW	KCQW	Cheraw Municipal Airport / Lynch Bellinger Field  (FAA: CQW)	Cheraw, South Carolina, United States
HCR	PAHC	Holy Cross Airport (FAA: HCA)	Holy Cross, Alaska, United States
HDE	KHDE	Brewster Field	Holdrege, Nebraska, United States
HDH	PHDH	Dillingham Airfield	Mokuleia, Hawaii, United States
HDN	KHDN	Yampa Valley Airport	Hayden, Colorado, United States
HDO	KHDO	Hondo Municipal Airport (former Hondo AAF)	Hondo, Texas, United States
HED		Herendeen Bay Airport (FAA: AK33)	Herendeen Bay, Alaska, United States
HEE	KHEE	Thompson-Robbins Airport	Helena, Arkansas|Helena / West Helena, Arkansas, United States
HEF	KHEF	Manassas Regional Airport (Harry P. Davis Field)	Manassas, Virginia, United States
HES	KHRI	Hermiston Municipal Airport (FAA: HRI)	Hermiston, Oregon, United States
HEY	KHEY	Hanchey Army Heliport	Fort Rucker, Dale County, Alabama, United States
HEZ	KHEZ	Natchez-Adams County Airport (Hardy-Anders Field)	Natchez, Mississippi, United States
HFD	KHFD	Hartford-Brainard Airport	Hartford, Connecticut, United States
HFF	KHFF	Mackall Army Airfield	Camp Mackall, North Carolina, United States
HGR	KHGR	Hagerstown Regional Airport (Richard A. Henson Field)	Hagerstown, Maryland, United States
HGT	KHGT	Tusi Army Heliport	Fort Hunter Liggett / Jolon, California, United States
HGZ		Hog River Airport (FAA: 2AK6)	Hogatza, Alaska, United States
HHH	KHXD	Hilton Head Airport (FAA: HXD)	Hilton Head Island, South Carolina, United States
HHI	PHHI	Wheeler Army Airfield	Wahiawa, Hawaii, United States
HHR	KHHR	Hawthorne Municipal Airport (California)|Hawthorne Municipal Airport (Jack Northrop Field)	Hawthorne, California, United States
HIB	KHIB	Chisholm-Hibbing Airport	Hibbing, Minnesota, United States
HIE	KHIE	Mount Washington Regional Airport	Whitefield, New Hampshire, United States
HIF	KHIF	Hill Air Force Base	Ogden, Utah, United States
HII	KHII	Lake Havasu City Airport	Lake Havasu City, Arizona, United States
HIK	PHIK	Hickam Air Force Base	Honolulu, Hawaii, United States
HIO	KHIO	Portland-Hillsboro Airport	Hillsboro, Oregon|Hillsboro / Portland, Oregon, United States
HKA	KHKA	Blytheville Municipal Airport	Blytheville, Arkansas, United States
HKB	PAHV	Healy River Airport (FAA: HRR)	Healy, Alaska, United States
HKS	KHKS	Hawkins Field (airport)|Hawkins Field	Jackson, Mississippi, United States
HKY	KHKY	Hickory Regional Airport	Hickory, North Carolina, United States
HLB	KHLB	Hillenbrand Industries Airport	Batesville, Indiana, United States
HLC	KHLC	Hill City Municipal Airport	Hill City, Kansas, United States
HLG	KHLG	Wheeling Ohio County Airport	Wheeling, West Virginia, United States
HLI	KCVH	Hollister Municipal Airport (FAA: CVH)	Hollister, California, United States
HLM	KHLM	Park Township Airport	Holland, Michigan, United States
HLN	KHLN	Helena Regional Airport	Helena, Montana, United States
HLR	KHLR	Hood Army Airfield	Fort Hood / Killeen, Texas, United States
HMN	KHMN	Holloman Air Force Base	Alamogordo, New Mexico, United States
HMT	KHMT	Hemet-Ryan Airport	Hemet, California, United States
HNB	KHNB	Huntingburg Airport	Huntingburg, Indiana, United States
HNC	KHSE	Billy Mitchell Airport (FAA: HSE)	Hatteras, North Carolina, United States
HNE	PAHE	Tahneta Pass Airport (closed)	Tahneta Pass Lodge, Alaska, United States
HNH	PAOH	Hoonah Airport	Hoonah, Alaska, United States
HNL	PHNL	Honolulu International Airport	Honolulu, Hawaii, United States
HNM	PHHN	Hana Airport	Hana, Hawaii, United States
HNS	PAHN	Haines Airport	Haines, Alaska, United States
HOB	KHOB	Lea County Regional Airport	Hobbs, New Mexico, United States
HOM	PAHO	Homer Airport	Homer, Alaska, United States
HON	KHON	Huron Regional Airport	Huron, South Dakota, United States
HOP	KHOP	Campbell Army Airfield	Fort Campbell, Kentucky|Fort Campbell / Hopkinsville, Kentucky, United States
HOT	KHOT	Hot Springs Memorial Field Airport	Hot Springs, Arkansas, United States
HOU	KHOU	William P. Hobby Airport	Houston, Texas, United States
HPB	PAHP	Hooper Bay Airport	Hooper Bay, Alaska, United States
HPN	KHPN	Westchester County Airport	White Plains, New York, United States
HPT	KHPT	Hampton Municipal Airport	Hampton, Iowa, United States
HPV		Princeville Airport (FAA: HI01)	Hanalei, Hawaii, United States
HPY	KHPY	Baytown Airport	Baytown, Texas, United States
HQM	KHQM	Bowerman Airport	Hoquiam, Washington, United States
HRL	KHRL	Valley International Airport	Harlingen, Texas, United States
HRO	KHRO	Boone County Airport (Arkansas)|Boone County Airport	Harrison, Arkansas, United States
HSB	KHSB	Harrisburg-Raleigh Airport	Harrisburg, Illinois, United States
HSD	KHSD	Sundance Airpark	Oklahoma City, Oklahoma, United States
HSH	KHND	Henderson Executive Airport (FAA: HND)	Henderson, Nevada|Henderson / Las Vegas, Nevada, United States
HSI	KHSI	Hastings Municipal Airport	Hastings, Nebraska, United States
HSL	PAHL	Huslia Airport (FAA: HLA)	Huslia, Alaska, United States
HSP	KHSP	Ingalls Field	Hot Springs, Virginia, United States
HST	KHST	Homestead Air Reserve Base	Homestead, Florida, United States
HSV	KHSV	Huntsville International Airport (Carl T. Jones Field)	Huntsville, Alabama|Huntsville / Decatur, Alabama, United States
HTH	KHTH	Hawthorne Industrial Airport	Hawthorne, Nevada, United States
HTL	KHTL	Roscommon County - Blodgett Memorial Airport	Houghton Lake, Michigan, United States
HTO	KHTO	East Hampton Airport	East Hampton (town), New York|East Hampton, New York, United States
HTS	KHTS	Tri-State Airport (Milton J. Ferguson Field)	Huntington, West Virginia, United States
HTV	KUTS	Huntsville Municipal Airport (Texas)|Huntsville Municipal Airport	Huntsville, Texas, United States
HTW	KHTW	Lawrence County Airpark	Chesapeake, Ohio / Huntington, West Virginia, United States
HUA	KHUA	Redstone Army Airfield	Redstone Arsenal (near Huntsville, Alabama|Huntsville), Alabama, United States
HUC		Humacao Airport	Humacao, Puerto Rico, United States
HUD		Humboldt Municipal Airport (Iowa)|Humboldt Municipal Airport (FAA: 0K7)	Humboldt, Iowa, United States
HUF	KHUF	Terre Haute International Airport (Hulman Field)	Terre Haute, Indiana, United States
HUJ	KHHW	Stan Stamper Municipal Airport (FAA: HHW)	Hugo, Oklahoma, United States
HUL	KHUL	Houlton International Airport	Houlton, Maine, United States
HUM	KHUM	Houma-Terrebonne Airport	Houma, Louisiana, United States
HUS	PAHU	Hughes Airport (Alaska)|Hughes Airport	Hughes, Alaska, United States
HUT	KHUT	Hutchinson Municipal Airport (Kansas)|Hutchinson Municipal Airport	Hutchinson, Kansas, United States
HVE	KHVE	Hanksville Airport	Hanksville, Utah, United States
HVN	KHVN	Tweed-New Haven Airport	New Haven, Connecticut, United States
HVR	KHVR	Havre City-County Airport	Havre, Montana, United States
HVS	KHVS	Hartsville Regional Airport	Hartsville, South Carolina, United States
HWD	KHWD	Hayward Executive Airport	Hayward, California, United States
HWI		Hawk Inlet Seaplane Base	Hawk Inlet, Alaska, United States
HWO	KHWO	North Perry Airport	Hollywood, Florida, United States
HYA	KHYA	Barnstable Municipal Airport (Boardman/Polando Field)	Hyannis, Massachusetts, United States
HYG	PAHY	Hydaburg Seaplane Base	Hydaburg, Alaska, United States
HYL		Hollis Seaplane Base	Hollis, Alaska, United States
HYR	KHYR	Sawyer County Airport	Hayward, Wisconsin, United States
HYS	KHYS	Hays Regional Airport	Hays, Kansas, United States
HZL	KHZL	Hazleton Municipal Airport	Hazleton, Pennsylvania, United States
HZR	KHZR	False River Regional Airport	New Roads, Louisiana, United States
IAB	KIAB	McConnell Air Force Base	Wichita, Kansas, United States
IAD	KIAD	Washington Dulles International Airport	Washington, D.C. / Virginia, United States
IAG	KIAG	Niagara Falls International Airport	Niagara Falls, New York, United States
IAH	KIAH	George Bush Intercontinental Airport	Houston, Texas, United States
IAN	PAIK	Bob Baker Memorial Airport	Kiana, Alaska, United States
ICL	KICL	Schenck Field	Clarinda, Iowa, United States
ICT	KICT	Wichita Mid-Continent Airport	Wichita, Kansas, United States
ICY		Icy Bay Airport (FAA: 19AK)	Icy Bay, Alaska, United States
IDA	KIDA	Idaho Falls Regional Airport	Idaho Falls, Idaho, United States
IDG	KIDG	Ida Grove Municipal Airport	Ida Grove, Iowa, United States
IDI	KIDI	Indiana County Airport (Jimmy Stewart Field)	Indiana, Pennsylvania, United States
IDP	KIDP	Independence Municipal Airport (Kansas)|Independence Municipal Airport	Independence, Kansas, United States
IEN	KIEN	Pine Ridge Airport	Pine Ridge, South Dakota, United States
IFA	KIFA	Iowa Falls Municipal Airport	Iowa Falls, Iowa, United States
IFP	KIFP	Laughlin/Bullhead International Airport	Bullhead City, Arizona, United States
IGG	PAIG	Igiugig Airport	Igiugig, Alaska, United States
IGM	KIGM	Kingman Airport (Arizona)|Kingman Airport	Kingman, Arizona, United States
IJX	KIJX	Jacksonville Municipal Airport	Jacksonville, Illinois, United States
IKB	KUKF	Wilkes County Airport (FAA: UKF)	North Wilkesboro, North Carolina, United States
IKK	KIKK	Greater Kankakee Airport	Kankakee, Illinois, United States
IKO	PAKO	Nikolski Air Station	Nikolski, Alaska, United States
IKV	KIKV	Ankeny Regional Airport	Ankeny, Iowa, United States
ILE	KILE	Skylark Field	Killeen, Texas, United States
ILG	KILG	New Castle Airport	Wilmington, Delaware, United States
ILI	PAIL	Iliamna Airport	Iliamna, Alaska, United States
ILL	KILL	Willmar Municipal Airport (John L. Rice Field) (closed 2006)	Willmar, Minnesota, United States
ILM	KILM	Wilmington International Airport	Wilmington, North Carolina, United States
ILN	KILN	Airborne Airpark	Wilmington, Ohio, United States
IML	KIML	Imperial Municipal Airport	Imperial, Nebraska, United States
IMM	KIMM	Immokalee Airport	Immokalee, Florida, United States
IMT	KIMT	Ford Airport (Iron Mountain)|Ford Airport	Iron Mountain, Michigan|Iron Mountain / Kingsford, Michigan, United States
IND	KIND	Indianapolis International Airport	Indianapolis, Indiana, United States
INK	KINK	Winkler County Airport	Wink, Texas, United States
INL	KINL	Falls International Airport	International Falls, Minnesota, United States
INR		Kincheloe Air Force Base (closed 1977)	Sault Ste. Marie, Michigan, United States
INS	KINS	Creech Air Force Base	Indian Springs, Nevada, United States
INT	KINT	Smith Reynolds Airport	Winston-Salem, North Carolina, United States
INW	KINW	Winslow-Lindbergh Regional Airport	Winslow, Arizona, United States
IOW	KIOW	Iowa City Municipal Airport	Iowa City, Iowa, United States
IPL	KIPL	Imperial County Airport	Imperial, California, United States
IPT	KIPT	Williamsport Regional Airport	Williamsport, Pennsylvania, United States
IRB		Iraan Municipal Airport (FAA: 2F0)	Iraan, Texas, United States
IRC	PACR	Circle City (New) Airport (FAA: CRC)	Circle, Alaska, United States
IRK	KIRK	Kirksville Regional Airport	Kirksville, Missouri, United States
IRS	KIRS	Kirsch Municipal Airport	Sturgis, Michigan, United States
ISM	KISM	Kissimmee Gateway Airport	Orlando, Florida, United States
ISN	KISN	Sloulin Field International Airport	Williston, North Dakota, United States
ISO	KISO	Kinston Regional Jetport at Stallings Field	Kinston, North Carolina, United States
ISP	KISP	Long Island MacArthur Airport	Islip (town), New York|Islip, New York, United States
ISQ	KISQ	Schoolcraft County Airport	Manistique, Michigan, United States
ISS	KIWI	Wiscasset Airport (FAA: IWI)	Wiscasset, Maine, United States
ISW	KISW	South Wood County Airport (Alexander Field)	Wisconsin Rapids, Wisconsin, United States
ITH	KITH	Ithaca Tompkins Regional Airport	Ithaca, New York, United States
ITO	PHTO	Hilo International Airport	Hilo, Hawaii, United States
IWD	KIWD	Gogebic-Iron County Airport	Ironwood, Michigan, United States
IWS	KIWS	West Houston Airport	Houston, Texas, United States
IYK	KIYK	Inyokern Airport	Inyokern, California, United States
JAC	KJAC	Jackson Hole Airport	Jackson, Wyoming, United States
JAN	KJAN	Jackson-Evers International Airport	Jackson, Mississippi, United States
JAS	KJAS	Jasper County Airport (Texas)|Jasper County Airport (Bell Field)	Jasper, Texas, United States
JAX	KJAX	Jacksonville International Airport	Jacksonville, Florida, United States
JBP		Commerce Business Park Heliport (FAA: 2CL0)	Commerce, California, United States
JBR	KJBR	Jonesboro Municipal Airport	Jonesboro, Arkansas, United States
JBT		Bethel Seaplane Base (FAA: Z59)	Bethel, Alaska, United States
JCE		Oakland Convention Center Heliport (FAA: CL41)	Oakland, California, United States
JCI	KIXD	New Century AirCenter (FAA: IXD)	Olathe, Kansas, United States
JCT	KJCT	Kimble County Airport	Junction, Texas, United States
JCY		LBJ Ranch Airport (FAA: 0TE7)	Johnson City, Texas, United States
JDA	KGCD	Grant County Regional Airport (Ogilvie Field) (FAA: GCD)	John Day, Oregon, United States
JDB		Dallas CBD Vertiport (Dallas Downtown Heliport) (FAA: 49T)	Dallas, Texas, United States
JDM		Miami Downtown Heliport (FAA: X48)	Miami, Florida, United States
JDN	KJDN	Jordan Airport	Jordan, Montana, United States
JDT		Minneapolis Downtown Heliport	Minneapolis, Minnesota, United States
JDX		Houston Central Business District Heliport	Houston, Texas, United States
JDY		Downey Heliport	Downey, California, United States
JEF	KJEF	Jefferson City Memorial Airport	Jefferson City, Missouri, United States
JEM		Emeryville Heliport	Emeryville, California, United States
JFK	KJFK	John F. Kennedy International Airport	New York City, New York, United States
JFN	KHZY	Ashtabula County Airport (FAA: HZY)	Ashtabula, Ohio, United States
JGC		Grand Canyon Heliport	Grand Canyon, Arizona, United States
JGL		Galleria Heliport (FAA: 16GA)	Marietta, Georgia, United States
JGP		Greenway Plaza Heliport	Houston, Texas, United States
JGQ		Transco Tower Garage Heliport (FAA: TS31)	Houston, Texas, United States
JGX		Glendale Heliport	Glendale, California, United States
JHC		Island Heliport	Garden City, New York, United States
JHM	PHJH	Kapalua Airport	Lahaina, Hawaii, United States
JHW	KJHW	Chautauqua County-Jamestown Airport	Jamestown, New York, United States
JID		Recreation and Conference Center Heliport (FAA: 9CA3)	City of Industry, California, United States
JIO		Ontario International Heliport	Ontario, California, United States
JKV	KJSO	Cherokee County Airport (Texas)|Cherokee County Airport (FAA: JSO)	Jacksonville, Texas, United States
JLA		Quartz Creek Airport	Cooper Landing, Alaska, United States
JLB		Long Beach Heliport	Long Beach, California, United States
JLN	KJLN	Joplin Regional Airport	Joplin, Missouri, United States
JLX		Los Angeles Union Station Heliport (FAA: 54L)	Los Angeles, California, United States
JMC	KJMC	Commodore Center Heliport	Sausalito, California, United States
JMD		Market Centre Heliport	Dallas, Texas, United States
JMN		Mankato Municipal Heliport	Mankato, Minnesota, United States
JMS	KJMS	Jamestown Regional Airport	Jamestown, North Dakota, United States
JNP		Newport Beach Heliport	Newport Beach, California, United States
JNU	PAJN	Juneau International Airport	Juneau, Alaska, United States
JOR		Choc Heliport (FAA: 4CA5)	Orange, California, United States
JOT	KJOT	Joliet Regional Airport	Joliet, Illinois, United States
JPD		Pasadena Heliport	Pasadena, California, United States
JPN	KJPN	Pentagon Army Heliport	Washington, D.C., United States
JRA	KJRA	West 30th Street Heliport	New York City, New York, United States
JRB	KJRB	Downtown Manhattan Heliport (Wall St. Heliport)	New York City, New York, United States
JRC		Rochester Municipal Heliport	Rochester, Minnesota, United States
JRD		Riverside Metro Center Heliport (FAA: CA81)	Riverside, California, United States
JRE		East 60th Street Heliport	New York City, New York, United States
JSD	KJSD	Sikorsky Heliport	Stratford, Connecticut, United States
JSG		San Rafael Heliport	San Rafael, California, United States
JSK		St. Cloud Municipal Heliport	St. Cloud, Minnesota, United States
JSL		Steel Pier Taj Mahal Heliport (FAA: 28NJ)	Atlantic City, New Jersey, United States
JSN		Sherman Oaks Community Hospital Heliport (FAA: CL80)	Sherman Oaks, California, United States
JST	KJST	John Murtha Johnstown-Cambria County Airport	Johnstown, Pennsylvania, United States
JTO		Thousand Oaks Heliport	Thousand Oaks, California, United States
JVI		Central Jersey Regional Airport (FAA: 47N)	Manville, New Jersey, United States
JVL	KJVL	Southern Wisconsin Regional Airport	Janesville, Wisconsin, United States
JWC		Warner Center Plaza One Heliport (FAA: 96CA)	Woodland Hills, California, United States
JWH		Westchase Hilton Heliport (FAA: TS24)	Houston, Texas, United States
JXN	KJXN	Jackson County Airport (Michigan)|Jackson County Airport (Reynolds Field)	Jackson, Michigan, United States
JYO	KJYO	Leesburg Executive Airport	Leesburg, Virginia, United States
KAE	PAFE	Kake Airport (FAA: AFE)	Kake, Alaska, United States
KAL	PAKV	Kaltag Airport	Kaltag, Alaska, United States
KBC		Birch Creek Airport (FAA: Z91)	Birch Creek, Alaska|Birch Creek, Alaska, United States
KBE		Bell Island Hot Springs Seaplane Base	Bell Island, Alaska|Bell Island, Alaska, United States
KBW		Chignik Bay Seaplane Base (FAA: Z78)	Chignik, Alaska, United States.
KCC		Coffman Cove Seaplane Base	Coffman Cove, Alaska, United States
KCG		Chignik Fisheries Airport (closed)	Chignik, Alaska, United States.
KCK		Fairfax Airport (closed 1985)	Kansas City, Kansas, United States
KCL		Chignik Lagoon Airport (Chignik Flats Airport)	Chignik Lagoon, Alaska, United States
KCN		Chernofski Harbor Seaplane Base	Chernofski Harbor, Alaska, United States
KCQ		Chignik Lake Airport (FAA: A79)	Chignik Lake, Alaska, United States
KCR		Colorado Creek Airport	Colorado Creek, Alaska, United States
KDK	PAKD	Kodiak Municipal Airport	Kodiak, Alaska, United States
KEB		Nanwalek Airport (English Bay Airport)	Nanwalek, Alaska|Nanwalek (English Bay), Alaska, United States
KEH		Kenmore Air Harbor (FAA: S60)	Kenmore, Washington, United States
KEK		Ekwok Airport	Ekwok, Alaska, United States
KFP	PAKF	False Pass Airport	False Pass, Alaska, United States
KGK	PAJZ	Koliganek Airport (FAA: JZZ)	Koliganek, Alaska, United States
KGX		Grayling Airport	Grayling, Alaska, United States
KGX		Grayling Airport	Grayling, Alaska, United States
KGZ		Glacier Creek Airport	Glacier Creek, Alaska, United States
KIB		Ivanof Bay Seaplane Base	Ivanof Bay, Alaska, United States
KIC	KKIC	Mesa Del Rey Airport	King City, California, United States
KIP	KCWC	Kickapoo Downtown Airport (FAA: CWC)	Wichita Falls, Texas, United States
KKA	PAKK	Koyuk Alfred Adams Airport	Koyuk, Alaska, United States
KKB		Kitoi Bay Seaplane Base	Kitoi Bay, Alaska, United States
KKH	PADY	Kongiganak Airport (FAA: DUY)	Kongiganak, Alaska, United States
KKI		Akiachak Seaplane Base	Akiachak, Alaska, United States
KKK		Kalakaket Creek Air Station (FAA: 1KC)	Kalakaket Creek, Alaska, United States
KKL		Karluk Lake Seaplane Base	Karluk Lake, Alaska, United States
KKT		Kentland Municipal Airport (FAA: 50I)	Kentland, Indiana, United States
KKU		Ekuk Airport	Ekuk, Alaska, United States
KLG	PALG	Kalskag Airport	Kalskag, Alaska, United States
KLL		Levelock Airport (FAA: 9Z8)	Levelock, Alaska, United States
KLN	PALB	Larsen Bay Airport (FAA: 2A3)	Larsen Bay, Alaska, United States
KLS	KKLS	Southwest Washington Regional Airport (was Kelso-Longview)	Kelso, Washington, United States
KLW	PAKW	Klawock Airport (FAA: AKW)	Klawock, Alaska, United States
KMO	PAMB	Manokotak Airport (FAA: MBA)	Manokotak, Alaska, United States
KMY		Moser Bay Seaplane Base	Moser Bay, Kodiak Island Borough, Alaska, United States
KNB	KKNB	Kanab Municipal Airport	Kanab, Utah, United States
KNK	PFKK	Kokhanok Airport (FAA: 9K2)	Kokhanok, Alaska, United States
KNT	KTKX	Kennett Memorial Airport (FAA: TKX)	Kennett, Missouri, United States
KNW	PANW	New Stuyahok Airport	New Stuyahok, Alaska, United States
KOA	PHKO	Kona International Airport	Kailua, Hawaii County, Hawaii|Kailua / Kona, Hawaii, United States
KOT	PFKO	Kotlik Airport (FAA: 2A9)	Kotlik, Alaska, United States
KOY		Olga Bay Seaplane Base	Olga Bay, Kodiak Island Borough, Alaska, United States
KOZ		Ouzinkie Airport (FAA: 4K5)	Ouzinkie, Alaska, United States
KPB		Point Baker Seaplane Base	Point Baker, Alaska, United States
KPC	PAPC	Port Clarence Coast Guard Station	Port Clarence, Alaska, United States
KPH		Pauloff Harbor Seaplane Base	Sanak Island, Alaska, United States
KPN	PAKI	Kipnuk Airport (FAA: IIK)	Kipnuk, Alaska, United States
KPR		Port Williams Seaplane Base	Port Williams, Alaska|Port Williams, Kodiak Island Borough, Alaska, United States
KPT		Jackpot Airport (Hayden Field) (FAA: 06U)	Jackpot, Nevada, United States
KPV	PAPE	Perryville Airport (FAA: PEV)	Perryville, Alaska, United States
KPY		Port Bailey Seaplane Base	Port Bailey, Kodiak Island Borough, Alaska, United States
KQA		Akutan Seaplane Base	Akutan, Alaska, United States
KSM	PASM	St. Mary's Airport (Alaska)|St. Mary's Airport	St. Mary's, Alaska, United States
KTB		Thorne Bay Seaplane Base	Thorne Bay, Alaska, United States
KTH		Tikchik Lodge Seaplane Base (FAA: AK56)	Tikchik, Alaska, United States
KTN	PAKT	Ketchikan International Airport	Ketchikan, Alaska, United States
KTS	PFKT	Brevig Mission Airport	Brevig Mission, Alaska, United States
KUK	PFKA	Kasigluk Airport (FAA: Z09)	Kasigluk, Alaska, United States
KVC	PAVC	King Cove Airport	King Cove, Alaska, United States
KVL	PAVL	Kivalina Airport	Kivalina, Alaska, United States
KWF		Waterfall Seaplane Base	Waterfall, Alaska, United States
KWK		Kwigillingok Seaplane Base	Kwigillingok, Alaska, United States
KWN	PAQH	Quinhagak Airport (FAA: AQH)	Quinhagak, Alaska, United States
KWP		West Point Village Seaplane Base	West Point, Alaska|West Point, Kodiak Island Borough, Alaska, United States
KWT	PFKW	Kwethluk Airport	Kwethluk, Alaska, United States
KXA		Kasaan Seaplane Base	Kasaan, Alaska, United States
KYK	PAKY	Karluk Airport	Karluk, Alaska, United States
KYU	PFKU	Koyukuk Airport	Koyukuk, Alaska, United States
KZB		Zachar Bay Seaplane Base	Zachar Bay, Alaska, United States
LAA	KLAA	Lamar Municipal Airport (Colorado)|Lamar Municipal Airport	Lamar, Colorado, United States
LAF	KLAF	Purdue University Airport	West Lafayette, Indiana, United States
LAL	KLAL	Lakeland Linder Regional Airport	Lakeland, Florida, United States
LAM	KLAM	Los Alamos Airport	Los Alamos, New Mexico, United States
LAN	KLAN	Lansing Capital City Airport	Lansing, Michigan, United States
LAR	KLAR	Laramie Regional Airport	Laramie, Wyoming, United States
LAS	KLAS	McCarran International Airport	Paradise, Nevada|Las Vegas, Nevada, United States
LAW	KLAW	Lawton-Fort Sill Regional Airport	Lawton, Oklahoma, United States
LAX	KLAX	Los Angeles International Airport	Los Angeles, California, United States
LBB	KLBB	Lubbock Preston Smith International Airport	Lubbock, Texas, United States
LBE	KLBE	Arnold Palmer Regional Airport	Latrobe, Pennsylvania|Latrobe (near Pittsburgh, Pennsylvania|Pittsburgh), Pennsylvania, United States
LBF	KLBF	North Platte Regional Airport (Lee Bird Field)	North Platte, Nebraska, United States
LBL	KLBL	Liberal Municipal Airport	Liberal, Kansas, United States
LBT	KLBT	Lumberton Municipal Airport	Lumberton, North Carolina, United States
LCH	KLCH	Lake Charles Regional Airport	Lake Charles, Louisiana, United States
LCI	KLCI	Laconia Municipal Airport	Laconia, New Hampshire, United States
