AAA	NTGA	Anaa Airport	Anaa, Tuamotus, French Polynesia
LTV	YLOV	Lotus Vale Station Airport	Lotus Vale Station, Queensland, Australia
LTW		St. Mary's County Regional Airport (FAA: 2W6)	Leonardtown, Maryland, United States
LUA	VNLK	Lukla Airport (Tenzing-Hillary Airport)	Lukla, Nepal
LUB	SYLP	Lumid Pau Airport	Lumid Pau, Guyana
LUC	NFNH	Laucala Island Airport	Laucala Island, Fiji
LUD	FYLZ	Luderitz Airport (Diaz Point Airport)	Luderitz, Namibia
LUE	LZLU	Lučenec Airport	Lučenec, Slovakia
LUF	KLUF	Luke Air Force Base	Glendale, Arizona, United States
LUG	LSZA	Lugano Airport	Lugano, Agno, Switzerland
LUH	VILD	Ludhiana Airport	Ludhiana, India
LUI		La Unión Airport	La Unión, Honduras|La Unión, Honduras
LUJ	FALK	Lusikisiki Airport	Lusikisiki, South Africa
LUK	KLUK	Cincinnati Municipal Airport (Lunken Field)	Cincinnati, Ohio, United States
LUL	KLUL	Hesler-Noble Field	Laurel, Mississippi, United States
LUN	FLLS	Lusaka International Airport	Lusaka, Zambia
LUO	FNUE	Luena Airport	Luena, Moxico Province, Angola
LUP	PHLU	Kalaupapa Airport	Kalaupapa, Hawaii, United States
LUQ	SAOU	San Luis Airport (Argentina)|San Luis Airport	San Luis, Argentina|San Luis, Argentina
LUR	PALU	Cape Lisburne LRRS Airport	Cape Lisburne, Alaska, United States
LUS	FZCE	Lusanga Airport	Lusanga, Democratic Republic of the Congo
LUT	YLRS	Laura Station Airport	Laura Station, Queensland, Australia
LUU	YLRA	Laura Airport	Laura, Queensland, Australia
LUV	WAPL	Dumatubin Airport	Langgur, Kai Islands, Indonesia
LUW	WAMW	Bubung Airport	Luwuk, Central Sulawesi, Indonesia
LUX	ELLX	Luxembourg-Findel International Airport	Luxembourg-Findel, Luxembourg
LUY		Lushoto Airport	Lushoto, Tanzania
LUZ	ZSLS	Lushan Airport	Lushan District, Jiangxi, People's Republic of China|China
LVA	LFOV	Laval Entrammes Airport	Laval, Mayenne|Laval, France
LVB	SSLI	Dos Galpoes Airport	Santana do Livramento, Rio Grande do Sul, Brazil
LVD		Lime Village Airport (FAA: 2AK)	Lime Village, Alaska, United States
LVI	FLLI	Livingstone Airport	Livingstone, Zambia|Livingstone, Zambia
LVK	KLVK	Livermore Municipal Airport	Livermore, California, United States
LVL	KLVL	Lawrenceville/Brunswick Municipal Airport	Lawrenceville, Virginia, United States
LVM	KLVM	Mission Field	Livingston, Montana, United States
LVO	YLTN	Laverton Airport	Laverton, Western Australia, Australia
LVP	OIBV	Lavan Airport	Lavan Island, Iran
LVS	KLVS	Las Vegas Municipal Airport	Las Vegas, New Mexico, United States
LWA		Lebak Airport	Lebak, Sultan Kudarat|Lebak, Sultan Kudarat (province)|Sultan Kudarat, Philippines
LWB	KLWB	Greenbrier Valley Airport	Lewisburg, West Virginia, United States
LWC	KLWC	Lawrence Municipal Airport (Kansas)|Lawrence Municipal Airport	Lawrence, Kansas, United States
LWE	WATW	Wonopito Airport	Lewoleba, Indonesia
LWH	YLAH	Lawn Hill Airport	Lawn Hill, Queensland, Australia
LWI		Lowai Airport	Lowai, Papua New Guinea
LWK	EGET	Tingwall Airport	Lerwick, Scotland, United Kingdom
LWL	KLWL	Wells Municipal Airport (Nevada)|Wells Municipal Airport (Harriet Field)	Wells, Nevada, United States
LWM	KLWM	Lawrence Municipal Airport (Massachusetts)|Lawrence Municipal Airport	Lawrence, Massachusetts, United States
LWN	UDSG	Shirak Airport	Gyumri, Armenia
LWO	UKLL	Lviv International Airport (Snilow Airport)	Lviv, Ukraine
LWR	EHLW	Leeuwarden Airport	Leeuwarden, Netherlands
LWS	KLWS	Lewiston-Nez Perce County Airport	Lewiston, Idaho, United States
LWT	KLWT	Lewistown Municipal Airport	Lewistown, Montana, United States
LWV	KLWV	Lawrenceville-Vincennes International Airport	Lawrenceville, Illinois, United States
LWY	WBGW	Lawas Airport	Lawas, Sarawak, Malaysia
LXA	ZULS	Lhasa Gonggar Airport	Lhasa, Tibet, People's Republic of China|China
LXG	VLLN	Luang Namtha Airport	Luang Namtha, Laos
LXI	ZBLX	Linxi Airport	Linxi, People's Republic of China|China
LXN	KLXN	Jim Kelly Field	Lexington, Nebraska, United States
LXR	HELX	Luxor International Airport	Luxor, Egypt
LXS	LGLM	Lemnos Airport	Lemnos, Greece
LXU	FLLK	Lukulu Airport	Lukulu, Zambia
LXV	KLXV	Lake County Airport (Colorado)|Lake County Airport	Leadville, Colorado, United States
LYA	ZHLY	Luoyang Airport	Luoyang, Henan, People's Republic of China|China
LYB	MWCL	Edward Bodden Airfield	Little Cayman, Cayman Islands
LYC	ESNL	Lycksele Airport	Lycksele, Sweden
LYE	EGDL	RAF Lyneham	Wiltshire, England, United Kingdom
LYG	ZSLG	Lianyungang Airport	Lianyungang, Jiangsu, People's Republic of China|China
LYH	KLYH	Lynchburg Regional Airport (Preston Glenn Field)	Lynchburg, Virginia, United States
LYI	ZSLY	Shubuling Airport	Linyi, Shandong, People's Republic of China|China
LYK		Lunyuk Airport	Lunyuk, Indonesia
LYM	EGMK	Lympne Airport	Lympne, Kent, England, United Kingdom
LYN	LFLY	Lyon Bron Airport	Lyon, France
LYO	KLYO	Lyons-Rice County Municipal Airport	Lyons, Kansas, United States
LYP	OPFA	Faisalabad International Airport	Faisalabad, Pakistan
LYR	ENSB	Svalbard Airport, Longyear	Longyearbyen, Svalbard, Norway
LYS	LFLL	Lyon-Saint Exupéry Airport (formerly Satolas Airport)	Lyon, France
LYT		Lady Elliot Island Airport	Lady Elliot Island, Queensland, Australia
LYU	KELO	Ely Municipal Airport (FAA: ELO)	Ely, Minnesota, United States
LYX	EGMD	London Ashford International Airport (Ferryfield)	Lydd, England, United Kingdom
LZA	FZUG	Luiza Airport	Luiza, Democratic Republic of the Congo
LZC	MMLC	Lázaro Cárdenas Airport	Lázaro Cárdenas, Michoacán, Mexico
LZD	ZLLD	Lanzhoudong Airport	Lanzhou, Gansu, People's Republic of China|China
LZH	ZGZH	Bailian Airport	Liuzhou, Guangxi, People's Republic of China|China
LZI	FZAL	Luozi Airport	Luozi, Democratic Republic of the Congo
LZM	FNLZ	Luzamba Airport	Luzamba, Angola
LZN	RCFG	Matsu Nangan Airport	Nangan, Lienchiang|Nangan, Matsu Islands, Taiwan
LZO	ZULZ	Luzhou Airport	Luzhou, Sichuan, People's Republic of China|China
LZR	YLZI	Lizard Island Airport	Lizard Island National Park|Lizard Island, Queensland, Australia
LZY	ZUNZ	Nyingchi Airport	Nyingchi, Tibet, People's Republic of China|China
MAA	VOMM	Chennai International Airport (Madras International Airport)	Madras (Chennai), India
MAC	KMAC	Macon Downtown Airport	Macon, Georgia, United States
MAD	LEMD	Barajas International Airport	Madrid, Spain
MAE	KMAE	Madera Municipal Airport	Madera, California, United States
MAF	KMAF	Midland International Airport	Midland, Texas, United States
MAH	LEMH	Menorca Airport|Mahon Airport	Menorca, Spain
MAI	FWMG	Mangochi Airport	Mangochi, Malawi
MAJ	PKMJ	Marshall Islands International Airport (Amata Kabua Int'l)	Majuro, Marshall Islands
MAL	KMAL	Malone-Dufort Airport	Malone (town), New York|Malone, New York, United States
MAM	MMMA	General Servando Canales International Airport	Matamoros, Tamaulipas, Mexico
MAN	EGCC	Manchester Airport	Manchester, United Kingdom
MAO	SBEG	Eduardo Gomes International Airport	Manaus, Amazonas (Brazilian state)|Amazonas, Brazil
MAR	SVMC	La Chinita International Airport	Maracaibo, Venezuela
MAV		Maloelap Airport	Maloelap, Marshall Islands
MAW	KMAW	Malden Municipal Airport	Malden, Missouri, United States
MAX	GOSM	Ouro Sogui Airport	Matam, Senegal
MAY	MYAB	Clarence A. Bain Airport	Andros, Bahamas
MAZ	TJMZ	Eugenio Maria de Hostos Airport	Mayagüez, Puerto Rico
MBA	HKMO	Moi International Airport	Mombasa, Kenya
MBG	KMBG	Mobridge Municipal Airport	Mobridge, South Dakota, United States
MBJ	MKJS	Sangster International Airport	Montego Bay, Jamaica
MBL	KMBL	Manistee County-Blacker Airport	Manistee, Michigan, United States
MBO	RPUM	Mamburao Airport	Mamburao, Occidental Mindoro, Philippines
MBS	KMBS	MBS International Airport	Midland, Michigan|Midland/Bay City, Michigan|Bay City/Saginaw, Michigan, United States
MBT	RPVJ	Masbate Airport	Masbate City, Masbate, Philippines
MBX	LJMB	Maribor Airport	Maribor, Slovenia
MBY	KMBY	Omar N. Bradley Airport	Moberly, Missouri, United States
MCA	GUMA	Macenta Airport	Macenta, Guinea
MCB	KMCB	McComb-Pike County Airport (John E. Lewis Field)	McComb, Mississippi, United States
MCC	KMCC	McClellan Airfield	Sacramento, California, United States
MCD	KMCD	Mackinac Island Airport	Mackinac Island, Michigan, United States
MCE	KMCE	Merced Municipal Airport (Macready Field)	Merced, California, United States
MCF	KMCF	MacDill Air Force Base	Tampa, Florida, United States
MCG	PAMC	McGrath Airport	McGrath, Alaska, United States
MCI	KMCI	Kansas City International Airport	Kansas City, Missouri, United States
MCK	KMCK	McCook Regional Airport	McCook, Nebraska, United States
MCM	LNMC	Monaco Heliport	Fontvieille, Monaco
MCN	KMCN	Middle Georgia Regional Airport	Macon, Georgia, United States
MCO	KMCO	Orlando International Airport	Orlando, Florida, United States
MCP	SBMP	Macapá International Airport	Macapá, Brazil
MCT	OOMS	Seeb International Airport	Muscat, Oman|Muscat, Oman
MCU	LFBK	Montluçon - Guéret Airport	Montluçon, France
MCW	KMCW	Mason City Municipal Airport	Mason City, Iowa, United States
MCX	URML	Uytash Airport	Makhachkala, Dagestan, Russia
MCY	YBSU	Sunshine Coast Airport	Queensland, Australia
MCZ	SBMO	Zumbi dos Palmares Airport	Maceió, Brazil
MDD	KMDD	Midland Airpark	Midland, Texas, United States
MDC	WAMM	Sam Ratulangi International Airport	Manado, Indonesia
MDE	SKRG	José María Córdova International Airport	Medellín, Colombia
MDF	KMDZ	Taylor County Airport	Medford, Wisconsin, United States
MDG	ZYMD	Mudanjiang Airport	Mudanjiang, Heilongjiang, People’s Republic of China
MDH	KMDH	Southern Illinois Airport	Carbondale, Illinois|Carbondale/Murphysboro, Illinois, United States
MDJ		Madras City-County Airport	Madras, Oregon, United States
MDL	VYMD	Mandalay International Airport	Mandalay, Myanmar
MDN	KIMS	Madison Municipal Airport (Indiana)|Madison Municipal Airport	Madison, Indiana, United States
MDO	PAMD	Middleton Island Airport	Middleton Island, Alaska, United States
MDQ	SAZM	Ástor Piazzola International Airport	Mar del Plata, Argentina
MDT	KMDT	Harrisburg International Airport	Harrisburg, Pennsylvania, United States
MDW	KMDW	Midway International Airport	Chicago, Illinois, United States
MDY	PMDY	Henderson Field (Midway Atoll)|Henderson Field	Sand Island (Midway Atoll)|Sand Island, Midway Atoll, United States
MDZ	SAME	Governor Francisco Gabrielli International Airport|Gov. Francisco Gabrielli International Airport (El Plumerillo)	Mendoza, Argentina
MEA	SBME	Macaé Airport	Macaé, Rio de Janeiro (state)|Rio de Janeiro, Brazil
MEB	KMEB	Laurinburg-Maxton Airport	Maxton, North Carolina, United States
MEC	SEMT	Manta Air Base|Eloy Alfaro International Airport	Manta, Manabí Province|Manabí, Ecuador
MED	OEMA	Prince Mohammad Bin Abdulaziz Airport	Medina, Saudi Arabia
MEF		Melfi Airport	Melfi, Chad
MEH	ENMH	Mehamn Airport	Mehamn, Norway
MEI	KMEI	Key Field	Meridian, Mississippi, United States
MEJ	KMEJ	Meade Municipal Airport	Meade, Kansas, United States
MEL	YMML	Melbourne Airport	Melbourne, Victoria (Australia)|Victoria, Australia
MEM	KMEM	Memphis International Airport	Memphis, Tennessee, United States
MEO	KMQI	Dare County Regional Airport	Manteo, North Carolina, United States
MEP	WMAU	Mersing Airport	Johor, Malaysia
MER	KMER	Castle Airport	Atwater, California, United States
MES	WIMM	Polonia International Airport	Medan, Indonesia
MEV	KMEV	Minden-Tahoe Airport	Minden, Nevada, United States
MEX	MMMX	Mexico City International Airport	Mexico City, Mexico
MEY	VNMG	Meghauli Airport	Meghauli, Nepal
MEZ	KMEZ	Mena Intermountain Municipal Airport	Mena, Arkansas, United States
MFD	KMFD	Mansfield Lahm Regional Airport	Mansfield, Ohio, United States
MFE	KMFE	McAllen-Miller International Airport	McAllen, Texas, United States
MFI	KMFI	Marshfield Municipal Airport (Wisconsin)|Marshfield Municipal Airport	Marshfield, Wisconsin, United States
MFM	VMMC	Macau International Airport	Macau Special Administrative Region of the People's Republic of China|Special administrative region|SAR
MFN	NZMF	Milford Sound Airport	Milford Sound, New Zealand
MFQ	DRRM	Maradi Airport	Maradi, Niger
MFR	KMFR	Rogue Valley International-Medford Airport	Medford, Oregon, United States
MFV	KMFV	Accomack County Airport	Melfa, Virginia, United States
MFW		Magaruque Airport	Magaruque Island, Mozambique
MGA	MNMG	Augusto C. Sandino International Airport	Managua, Nicaragua
MGB	YMTG	Mount Gambier Airport	Mount Gambier, South Australia|Mount Gambier, Australia
MGC	KMGC	Michigan City Municipal Airport	Michigan City, Indiana, United States
MGE	KMGE	Dobbins Air Reserve Base (Atlanta NAS)	Marietta, Georgia, United States
MGF	SBMG	Maringá - Sílvio Name Júnior Regional Airport	Maringá, Paraná (state)|Paraná, Brazil
MGI	SAAK	Martín García Island Airport	Buenos Aires Province, Argentina
MGJ	KMGJ	Orange County Airport (New York)|Orange County Airport	Montgomery (town), New York|Montgomery, New York, United States
MGL	EDLN	Düsseldorf-Mönchengladbach Airport	Mönchengladbach, Germany
MGM	KMGM	Montgomery Regional Airport (Dannelly Field)	Montgomery, Alabama, United States
MGN	KMGN	Harbor Springs Airport	Harbor Springs, Michigan, United States
MGR	KMGR	Moultrie Municipal Airport	Moultrie, Georgia, United States
MGQ	KMGQ	Mogadishu International Airport	Mogadishu, Somalia
MGW	KMGW	Morgantown Municipal Airport (Walter L. Bill Hart Field)	Morgantown, West Virginia, United States
MGY	KMGY	Dayton-Wright Brothers Airport	Dayton, Ohio, United States
MHA	SYMD	Mahdia Airport	Mahdia, Guyana|Mahdia, Guyana
MHE	KMHE	Mitchell Municipal Airport	Mitchell, South Dakota, United States
MHG	EDFM	Mannheim City Airport	Mannheim, Germany
MHH	MYAM	Marsh Harbour Airport	Marsh Harbour, Bahamas
MHI	HDMO	Moucha Airport	Moucha Island, Djibouti
MHK	KMHK	Manhattan Regional Airport	Manhattan, Kansas, United States
MHL	KMHL	Marshall Memorial Municipal Airport	Marshall, Missouri, United States
MHM	PAMH	Minchumina Airport	Minchumina, Alaska, United States
MHN	KMHN	Hooker County Airport	Mullen, Nebraska, United States
MHP	UMMM	Minsk-1|Minsk-1 Airport	Minsk, Belarus
MHQ	EFMA	Mariehamn Airport	Mariehamn, Åland Islands, Finland
MHR	KMHR	Sacramento Mather Airport	Sacramento, California, United States
MHT	KMHT	Manchester-Boston Regional Airport	Manchester, New Hampshire, United States
MHV	KMHV	Mojave Airport	Mojave, California, United States
MHZ		RAF Mildenhall	Mildenhall, Suffolk, England, United Kingdom
MIA	KMIA	Miami International Airport	Miami, Florida, United States
MIB	KMIB	Minot Air Force Base	Minot, North Dakota, United States
MIC	KMIC	Crystal Airport (Minnesota)|Crystal Airport	Minneapolis, Minnesota, United States
MID	MMMD	Manuel Crescencio Rejón International Airport	Mérida, Yucatán, Mexico
MIE	KMIE	Delaware County Airport (Johnson Field)	Muncie, Indiana, United States
MIG		Mian Yang Airport	Mian Yang, China
MIJ		Mili Airport	Mili, Marshall Islands
MIK	EFMI	Mikkeli Airport	Mikkeli, Finland
MIL		All Airports	Milan, Italy
MIO	KMIO	Miami Municipal Airport	Miami, Oklahoma, United States
MIP	LLMR	Mitzpe Ramon Airfield	Mitzpe Ramon, Israel
MIQ	KMLE	Millard Airport (Nebraska)|Millard Airport (FAA: MLE)	Omaha, Nebraska, United States
MIR	DTMB	Monastir International Airport|Monastir Habib Bourguiba International Airport	Monastir, Tunisia|Monastir, Tunisia
MIT	KMIT	Shafter Airport	Shafter, California, United States
MIU	DNMA	Maiduguri International Airport	Maiduguri, Nigeria
MIV	KMIV	Millville Municipal Airport	Millville, New Jersey, United States
MIW	KMIW	Marshalltown Municipal Airport	Marshalltown, Iowa, United States
MJB		Mejit Airport	Mejit, Marshall Islands
MJD	KMJD	Picayune Municipal Airport	Picayune, Mississippi, United States
MJE		Majkin Airport	Majkin, Marshall Islands
MJF	ENMS	Mosjøen Airport, Kjærstad	Mosjøen, Norway
MJI	HLLM	Mitiga International Airport	Tripoli, Libya
MJQ	KMJQ	Jackson Municipal Airport (Minnesota)|Jackson Municipal Airport	Jackson, Minnesota, United States
MJR		Miramar Airport	Miramar, Buenos Aires, Argentina
MJT		Mytilene International Airport	Mytilene, Lesbos Island, Greece
MJV	LELC	Murcia-San Javier Airport	Murcia, Spain
MJX	KMJX	Robert J. Miller Air Park	Toms River, New Jersey, United States
MKA	LKMR	Mariánské Lázně	Mariánské Lázně, Czech Republic
MKC	KMKC	Kansas City Downtown Airport (Charles B. Wheeler Downtown Airport)	Kansas City, Missouri, United States
MKE	KMKE	General Mitchell International Airport	Milwaukee, Wisconsin, United States
MKG	KMKG	Muskegon County Airport	Muskegon, Michigan, United States
MKJ	KMKJ	Mountain Empire Airport	Marion, Virginia|Marion/Wytheville, Virginia, United States
MKK	PHMK	Molokai Airport	Kaunakakai, Hawaii, United States
MKL	KMKL	McKellar-Sipes Regional Airport	Jackson, Tennessee, United States
MKN	KMKN	Comanche County-City Airport	Comanche, Texas, United States
MKO	KMKO	Davis Field (Oklahoma)|Davis Field	Muskogee, Oklahoma, United States
MKT	KMKT	Mankato Regional Airport	Mankato, Minnesota, United States
MKS		Mekane Selam Airport	Mekane Selam, Ethiopia
MKV	KMKV	Marksville Municipal Airport	Marksville, Louisiana, United States
MKY	YBMK	Mackay Airport	Mackay, Queensland, Australia
MLA	LMML	Malta International Airport (Luqa Airport)	Luqa, Malta
MLB	KMLB	Melbourne International Airport	Melbourne, Florida, United States
MLC	KMLC	McAlester Regional Airport	McAlester, Oklahoma, United States
MLD	KMLD	Malad City Airport	Malad City, Idaho, United States
MLE	VRMM	Malé International Airport	Hulhulé Island, Maldives
MLF	KMLF	Milford Municipal Airport (Ben and Judy Briscoe Field)	Milford, Utah, United States
MLG	WARA	Abdul Rachman Saleh Airport	Malang, East Java, Indonesia
MLH	LFSB	EuroAirport Basel-Mulhouse-Freiburg	Mulhouse, France
MLI	KMLI	Quad City International Airport	Moline, Illinois, United States
MLJ	KMLJ	Baldwin County Airport	Milledgeville, Georgia, United States
MLL	PADM	Marshall Don Hunter Sr. Airport (FAA: MDM)	Marshall, Alaska, United States
MLM	MMMM	General Francisco J. Mujica International Airport	Morelia, Michoacán, Mexico
MLN	GEML	Melilla Airport	Melilla, Spain|Spanishexclave in Morocco
MLO	LGML	Milos Island National Airport	Milos, Greece
MLP	RPMM	Malabang Airport	Malabang, Lanao del Sur, Philippines
MLS	KMLS	Miles City Municipal Airport (Frank Wiley Field)	Miles City, Montana, United States
MLT	KMLT	Millinocket Municipal Airport	Millinocket, Maine, United States
MLU	KMLU	Monroe Regional Airport (Louisiana)|Monroe Regional Airport	Monroe, Louisiana, United States
MLW	GLMR	Spriggs Payne Airport	Monrovia, Liberia
MLX	LTAT	Erhac Airport	Malatya, Turkey
MLY	PAML	Manley Hot Springs Airport	Manley Hot Springs, Alaska, United States
MME	EGNV	Durham Tees Valley Airport	Teesside, United Kingdom
MMH	KMMH	Mammoth Yosemite Airport	Mammoth Lakes, California, United States
MMI	KMMI	McMinn County Airport	Athens, Tennessee, United States
MMK	ULMM	Murmansk Airport	Murmansk, Russia
MML	KMML	Southwest Minnesota Regional Airport (Marshall/Ryan Field)	Marshall, Minnesota, 
MMO	GVMA	Maio Airport	Maio, Cape Verde|Maio, Cape Verde
MMQ		Mbala Airport	Mbala, Zambia
MMS	KMMS	Selfs Airport	Marks, Mississippi, United States
MMT	KMMT	McEntire Air National Guard Station	Eastover, South Carolina, United States
MMU	KMMU	Morristown Municipal Airport	Morristown, New Jersey, United States
MMV	KMMV	McMinnville Municipal Airport	McMinnville, Oregon, United States
MMX	ESMS	Malmö-Sturup Airport	Malmö, Sweden
MMZ	OAMN	Maymana Airport	Maymana, Afghanistan
MNC	FQNC	Nacala Airport	Nacala, Mozambique
MNF	KMNF	Mountain View Airport (Missouri)|Mountain View Airport	Mountain View, Missouri, United States
MNI	TRPM	Gerald's Airport (formerly used for W.H. Bramble Airport)	Montserrat, British West Indies
MNL	RPLL	Ninoy Aquino International Airport / Villamor Airbase	Metro Manila, Philippines
MNM	KMNM	Menominee-Marinette Twin County Airport	Menominee, Michigan, United States
MNN	KMNN	Marion Municipal Airport	Marion, Ohio, United States
MNS	OPMS	Minhas, Kamra Airport	Kamra, Pakistan
MNU	VYMM	Mawlamyaing Airport	Mawlamyaing, Burma
MNZ	KHEF	Manassas Regional Airport	Manassas, Virginia, United States
MOB	KMOB	Mobile Regional Airport	Mobile, Alabama, United States
MOD	KMOD	Modesto City-County Airport (Harry Sham Field)	Modesto, California, United States
MOL	ENML	Molde Airport, Årø	Molde, Norway
MOM	GQNL	Letfotar Airport	Moudjeria, Mauritania
MOP	KMOP	Mount Pleasant Municipal Airport (Michigan)|Mount Pleasant Municipal Airport	Mount Pleasant, Michigan, United States
MOR	KMOR	Moore-Murrell Airport	Morristown, Tennessee, United States
MOT	KMOT	Minot International Airport	Minot, North Dakota, United States
MOU	PAMO	Mountain Village Airport	Mountain Village, Alaska, United States
MOW		All Airports	Moscow, Russia
MOX	KMOX	Morris Municipal Airport	Morris, Minnesota, United States
MOZ	NTTM	Moorea Airport (Temae Airport)	Moorea, Windward Islands (Society Islands)|Windward Islands, French Polynesia
MPB		Miami Seaplane Base	Watson Island, Miami-Dade County, Florida, United States
MPH	RPVE	Godofredo P. Ramos Airport (Caticlan Airport)	Malay, Aklan|Malay, Aklan, Philippines
MPI	KMPI	Mariposa-Yosemite Airport	Mariposa, California, United States
MPJ	KMPJ	Petit Jean Park Airport	Morrilton, Arkansas, United States
MPL	LFMT	Mediterranée Airport	Montpellier, France
MPM	FQMA	Maputo International Airport	Maputo, Mozambique
MPN	EGYP	RAF Mount Pleasant	Falkland Islands
MPO	KMPO	Pocono Mountains Municipal Airport	Mount Pocono, Pennsylvania, United States
MPR	KMPR	McPherson Airport	McPherson, Kansas, United States
MPV	KMPV	Edward F. Knapp State Airport	Barre (city), Vermont|Barre/Montpelier, Vermont, United States
MPW	UKCM	Mariupol Airport	Mariupol, Ukraine
MPY	SOOA	Maripasoula Airport	Maripasoula, French Guiana
MPZ	KMPZ	Mount Pleasant Municipal Airport (Iowa)|Mount Pleasant Municipal Airport	Mount Pleasant, Iowa, United States
MQB	KMQB	Macomb Municipal Airport	Macomb, Illinois, United States
MQF	USCM	Magnitogorsk Airport	Magnitogorsk, Russia
MQJ	KMQJ	Mount Comfort Airport	Indianapolis, Indiana, United States
MQL	YMIA	Mildura Airport	Mildura, Victoria, Australia
MQM	LTCR	Mardin Airport	Mardin, Turkey
MQN	ENRA	Mo i Rana Airport, Røssvoll	Mo i Rana, Norway
MQP	FAKN	Kruger Mpumalanga International Airport	Nelspruit, South Africa
MQQ	FTTD	Moundou Airport	Moundou, Chad
MQS	TVSM	Mustique Airport	Mustique|Mustique Island, Saint Vincent and the Grenadines
MQT	KSAW	Sawyer International Airport	Marquette, Michigan, United States
MQW	KMQW	Telfair-Wheeler Airport	McRae, Georgia, United States
MQX	HAMK	Alula Aba Airport	Mekelle|Mekelle, Tigray, Ethiopia
MQY	KMQY	Smyrna Airport (Tennessee)|Smyrna Airport	Smyrna, Tennessee, United States
MRB	KMRB	Eastern WV Regional Airport (Shepherd Field)	Martinsburg, West Virginia, United States
MRC	KMRC	Maury County Airport	Columbia, Tennessee|Columbia/Mount Pleasant, Tennessee, United States
MRD	SVMD	Alberto Carnevalli Airport	Mérida, Mérida|Mérida, Venezuela
MRF	KMRF	Marfa Municipal Airport	Marfa, Texas, United States
MRH	KMRH	Michael J. Smith Field	Beaufort, North Carolina, United States
MRI	PAMR	Merrill Field	Anchorage, Alaska, United States
MRJ	KMRJ	Iowa County Airport	Mineral Point, Wisconsin, United States
MRK	KMKY	Marco Island Airport	Marco Island, Florida, United States
MRN	KMRN	Morganton-Lenoir Airport	Morganton, North Carolina, United States
MRO	SAWB	Base Marambio Island´s Airport	Base Marambio, Antarctica, Tierra del Fuego, Argentina
MRQ	RPUW	Marinduque Airport	Gasan, Marinduque, Philippines
MRS	LFML	Marseille Provence Airport	Marseille, France
MRU	FIMP	Sir Seewoosagur Ramgoolam International Airport	Plaisance (Mauritius)|Plaisance, Mauritius
MRV	URMM	Mineralnye Vody Airport	Mineralnye Vody, Russia
MRY	KMRY	Monterey Peninsula Airport	Monterey, California, United States
MSA	CZMD	Muskrat Dam Airport	Muskrat Dam, Ontario, Canada
MSE	EGMH	Manston Kent's International Airport	Manston, Kent|Manston, United Kingdom
MSL	KMSL	Northwest Alabama Regional Airport	Muscle Shoals, Alabama, United States
MSN	KMSN	Dane County Regional Airport (Truax Field)	Madison, Wisconsin, United States
MSO	KMSO	Missoula International Airport	Missoula, Montana, United States
MSP	KMSP	Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field)	Bloomington, Minnesota, United States
MSQ	UMMS	Minsk International Airport (Minsk - 2)	Minsk, Belarus
MSR	LTCK	Mus Airport	Mus, Turkey
MSS	KMSS	Massena International Airport (Richards Field)	Massena (town), New York|Massena, New York, United States
MST	EHBK	Maastricht Aachen Airport	Maastricht, Limburg (Netherlands)|Limburg, Netherlands
MSV	KMSV	Sullivan County International Airport	Monticello, New York, United States
MSY	KMSY	Louis Armstrong New Orleans International Airport (formerly Moisant Field)	New Orleans, Louisiana, United States
MTC	KMTC	Selfridge Air National Guard Base	Mount Clemens, Michigan, United States
MTH	KMTH	Florida Keys Marathon Airport	Marathon, Florida, United States
MTJ	KMTJ	Montrose Regional Airport	Montrose, Colorado, United States
MTM	PAMM	Metlakatla Seaplane Base	Metlakatla, Alaska|Metlakatla, Annette Island, Alaska, United States
MTN	KMTN	Martin State Airport	Baltimore, Maryland, United States
MTO	KMTO	Coles County Memorial Airport	Mattoon, Illinois|Mattoon/Charleston, Illinois, United States
MTP	KMTP	Montauk Airport	Montauk, New York, United States
MTR	SKMR	Los Garzones Airport	Montería, Department of Córdoba|Córdoba, Colombia
MTS	FDMS	Matsapha Airport	Manzini, Swaziland
MTT	MMMT	Minatitlán/Coatzacoalcos National Airport	Minatitlán, Veracruz, Mexico
MTV	NVSA	Mota Lava Airport	Mota Lava, Vanuatu
MTW	KMTW	Manitowoc County Airport	Manitowoc, Wisconsin, United States
MTX		Metro Field (FAA: MTF)	Fairbanks, Alaska, United States
MTY	MMMY	General Mariano Escobedo International Airport	Monterrey, Nuevo León, Mexico
MTZ	LLMZ	Masada Airfield	Masada, Israel
MUB	FBMN	Maun Airport	Maun, Botswana
MUC	EDDM	Franz Josef Strauss International Airport (succeeded Munich-Riem Airport)	Munich, Bavaria, Germany
MUD	FQMD	Mueda Airport	Mueda, Mozambique
MUE	PHMU	Waimea-Kohala Airport	Kamuela, Hawaii, United States
MUI	KMUI	Muir Army Airfield	Fort Indiantown Gap, Pennsylvania, United States
MUL	KMUL	Spence Airport	Moultrie, Georgia, United States
MUN	SVMT	Maturín Airport	Maturín, Venezuela
MUO	KMUO	Mountain Home Air Force Base	Mountain Home, Idaho, United States
MUT	KMUT	Muscatine Municipal Airport	Muscatine, Iowa, United States
MUW	DAOV	Ghriss Airport	Ghriss, Algeria
MUX	OPMT	Multan International Airport	Multan, Pakistan
MVC	KMVC	Monroe County Airport (Alabama)|Monroe County Airport	Monroeville, Alabama, United States
MVD	SUMU	Carrasco International Airport	Montevideo, Uruguay
